(1720.11,2611.47) , (1735.25,2666.17)
(1720.11,2611.47) , (1609.06,2647.89)
(1720.11,2611.47) , (1764.84,2585.87)
(1720.11,2611.47) , (1650.96,2396.85)
(782.11,1924.42) , (654.77,2017.25)
(782.11,1924.42) , (736.54,1860.19)
(782.11,1924.42) , (846.26,1877.64)
(1115.64,548.10) , (1140.57,636.28)
(1115.64,548.10) , (1044.47,563.21)
(1115.64,548.10) , (1207.60,528.57)
(1115.64,548.10) , (1103.12,488.03)
(2878.54,1667.70) , (2829.02,1642.57)
(2878.54,1667.70) , (2955.56,1686.53)
(2050.59,0.00) , (2028.33,40.01)
(4103.01,1121.02) , (4128.57,1169.11)
(4103.01,1121.02) , (4015.60,1166.53)
(4103.01,1121.02) , (4171.72,1083.71)
(2655.63,1345.16) , (2662.92,1439.77)
(2655.63,1345.16) , (2613.91,1348.30)
(2655.63,1345.16) , (2718.32,1340.41)
(2262.02,2383.01) , (2259.52,2367.59)
(2262.02,2383.01) , (2258.66,2388.21)
(662.36,1729.51) , (667.99,1796.64)
(662.36,1729.51) , (572.70,1737.21)
(662.36,1729.51) , (652.92,1632.43)
(1905.69,640.67) , (1938.10,704.51)
(1905.69,640.67) , (1881.84,594.62)
(2721.79,415.00) , (2734.99,433.20)
(2721.79,415.00) , (2711.47,390.11)
(4328.55,1107.49) , (4327.17,1122.38)
(4328.55,1107.49) , (4283.35,1012.00)
(1677.45,388.79) , (1726.22,421.37)
(1677.45,388.79) , (1664.61,421.01)
(1677.45,388.79) , (1634.14,358.56)
(2657.94,1937.59) , (2664.32,2014.80)
(2657.94,1937.59) , (2651.48,1854.33)
(2657.94,1937.59) , (2764.50,1900.19)
(3033.45,670.90) , (3039.77,749.51)
(3033.45,670.90) , (2912.24,679.11)
(3033.45,670.90) , (3089.64,667.31)
(2197.46,1316.36) , (2238.00,1315.04)
(2197.46,1316.36) , (2141.13,1298.14)
(396.39,1466.37) , (301.79,1565.27)
(396.39,1466.37) , (393.64,1490.31)
(396.39,1466.37) , (402.94,1458.55)
(1306.58,611.60) , (1253.48,619.34)
(1306.58,611.60) , (1349.69,606.71)
(1306.58,611.60) , (1271.84,515.49)
(1764.84,2585.87) , (1799.40,2573.81)
(1764.84,2585.87) , (1720.11,2611.47)
(2294.53,995.82) , (2335.33,991.22)
(2294.53,995.82) , (2262.06,1003.99)
(2611.98,906.24) , (2614.19,942.34)
